City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,kerikeri,-35.2268,173.9474,22.32,64,41,2.36,NZ,1702954057
123,bamboo flat,11.7,92.7167,30.05,74,20,3.6,IN,1702953957
124,puerto baquerizo moreno,-0.9,-89.6,24.14,89,83,4.9,EC,1702954057
125,ndele,8.4109,20.6473,23.33,32,100,1.85,CF,1702953957
126,utrik,11.2278,169.8474,26.84,78,17,10.09,MH,1702954057
127,palikir - national government center,6.9248,158.1611,30.47,70,100,6.17,FM,1702954057
128,santa elena de uairen,4.6167,-61.1333,22.31,76,100,1.11,VE,1702953957
129,port-cartier,50.0334,-66.8654,7.08,97,100,2.0,CA,1702953957
130,vadso,70.0744,29.7487,-1.91,80,48,10.29,NO,1702954058
131,talnakh,69.4865,88.3972,-13.77,75,100,9.33,RU,1702954058
132,bethel,41.3712,-73.414,7.19,71,75,2.57,US,1702954058
133,badger,64.8,-147.5333,-11.86,85,100,0.0,US,1702954058
134,beipiao,41.7919,120.7792,-14.13,62,33,8.51,CN,1702953957
135,gadzhiyevo,69.2551,33.3362,-10.39,88,8,5.86,RU,1702953957
136,hawaiian paradise park,19.5933,-154.9731,22.24,93,100,4.63,US,1702954058
137,andovoranto,-18.95,49.1,25.06,86,60,3.2,MG,1702953957
138,nuuk,64.1835,-51.7216,-7.66,86,100,2.06,GL,1702953780
139,mount pleasant,32.7941,-79.8626,12.08,65,0,4.63,US,1702953810
140,hermanus,-34.4187,19.2345,14.73,79,0,4.27,ZA,1702954058
141,warrnambool,-38.3833,142.4833,16.05,54,71,7.48,AU,1702953957
142,saint-philippe,-21.3585,55.7679,26.77,76,0,0.37,RE,1702954058
143,wotho,10.1657,166.0102,27.17,76,3,9.34,MH,1702953957
144,cabo san lucas,22.8909,-109.9124,25.42,64,91,3.12,MX,1702954058
145,port blair,11.6667,92.75,30.02,74,20,3.6,IN,1702953958
146,karystos,38.0133,24.4161,13.89,77,0,5.7,GR,1702953959
147,polyarnyy,69.1989,33.4478,-10.18,88,9,5.72,RU,1702954058
148,kodiak,57.79,-152.4072,-2.27,74,100,2.57,US,1702953994
149,christchurch,-43.5333,172.6333,22.52,78,100,8.75,NZ,1702953900
150,sitka,57.0531,-135.33,0.94,75,0,0.0,US,1702954059
151,vilyuchinsk,52.9306,158.4028,-3.85,76,62,2.69,RU,1702954059
152,la passe,45.5549,-0.8967,3.13,86,18,0.67,FR,1702954059
153,nova prata,-28.7839,-51.61,20.71,99,100,1.12,BR,1702953669
154,westport,41.1415,-73.3579,7.89,69,0,5.14,US,1702953959
155,saipan,15.1355,145.701,30.39,74,40,9.77,MP,1702954060
156,chonchi,-42.6128,-73.8092,12.56,85,0,1.61,CL,1702954060
157,congonhas,-20.4997,-43.8578,18.04,93,96,1.07,BR,1702953959
158,fallon,39.4735,-118.7774,3.93,60,75,5.14,US,1702954060
159,meizhou,24.2977,116.1072,14.19,59,72,2.91,CN,1702954060
160,lospalos,-8.5186,127.0025,30.84,53,80,1.94,TL,1702953959
161,illizi,26.4833,8.4667,6.89,89,18,2.81,DZ,1702953959
162,penzance,50.1186,-5.5371,13.2,95,100,9.89,GB,1702954060
163,kitzbuhel,47.4464,12.3922,2.99,96,3,2.55,AT,1702953959
164,pionerskiy,54.9508,20.2275,6.91,92,100,12.15,RU,1702953959
165,tual,-5.6667,132.75,28.6,80,54,6.95,ID,1702953959
166,porto novo,6.4965,2.6036,25.9,82,100,1.93,BJ,1702954060
167,ambon,-3.6954,128.1814,32.08,62,40,2.57,ID,1702954060
168,amguri,26.8,94.5333,19.14,69,8,1.3,IN,1702953959
169,flin flon,54.7682,-101.865,-4.68,88,51,4.06,CA,1702954060
170,matlang,10.8902,124.4554,28.68,73,97,6.64,PH,1702953959
171,sungai penuh,-2.0833,101.3833,19.2,97,100,0.44,ID,1702953959
172,songjianghe,42.1859,127.479,-12.95,85,100,1.58,CN,1702953960
173,acolla,-11.7319,-75.5463,11.22,80,100,1.61,PE,1702953961
174,kaspiyskiy,45.3929,47.3707,4.49,96,100,7.43,RU,1702953961
175,alice springs,-23.7,133.8833,30.75,27,19,6.17,AU,1702953961
176,richards bay,-28.783,32.0377,22.01,93,100,6.22,ZA,1702954060
177,anadyr,64.75,177.4833,-18.72,78,100,5.0,RU,1702954060
178,brisas de zicatela,15.8369,-97.0419,24.06,85,58,1.2,MX,1702954061
179,mankono,8.0586,-6.1897,20.9,23,7,2.42,CI,1702953961
